"departamento","pobreza_general","pobreza_extrema","participacion_ciudadana"
"Guatemala",0.216380174747216,0.0114551924007144,0.0465873654519702
"El Progreso",0.464002391183979,0.0511115575525644,0.0410323655375403
"Sacatepéquez",0.387486465422096,0.0253717758935437,0.0541386998562123
"Chimaltenango",0.477507183756259,0.0579824209258594,0.0395680438103044
"Escuintla",0.393606726015775,0.0297298087892586,0.0366447107640148
"Santa Rosa",0.739847211713621,0.161790059220438,0.0383456411780683
"Sololá",0.619956542115801,0.0882881226328571,0.0730529943309614
"Totonicapán",0.621177179192293,0.100733892662892,0.0857537277729048
"Quetzaltenango",0.449708786325905,0.0388385974160472,0.0901199473254468
"Suchitepéquez",0.537593617988114,0.0787198949795513,0.0407177173149894
"Retalhuleu",0.508657782812623,0.0413014746800223,0.0621735698243795
"San Marcos",0.54201921425646,0.0763410018626402,0.0833965307862834
"Huehuetenango",0.812909343776953,0.29833073173189,0.0991793422185626
"Quiché",0.86400065358116,0.344254653161458,0.0785944254617427
"Baja Verapaz",0.801393833013442,0.357579137890493,0.101462435638027
"Alta Verapaz",0.902976072426028,0.58529898271735,0.150445816156611
"Petén",0.50775087278214,0.0866026833285757,0.108898460914152
"Izabal",0.507535335941876,0.154079834492458,0.09216818280865
"Zacapa",0.525609417259582,0.134534289502653,0.0751978092549287
"Chiquimula",0.59605727398967,0.253246099436574,0.0542553272828755
"Jalapa",0.799442059451231,0.344727905406407,0.0573975172347874
"Jutiapa",0.739853535983464,0.189405413110489,0.0749317681102232
